AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_Work,Males_Work,Females_Work,Persons_Business,Males_Business,Females_Business,Persons_Education,Males_Education,Females_Education,Persons_Marriage,Males_Marriage,Females_Marriage,Persons_MoveAfterBirth,Males_MoveAfterBirth,Females_MoveAfterBirth,Persons_MoveWithHH,Males_MoveWithHH,Females_MoveWithHH,Persons_Other,Males_Other,Females_Other
JAMMU & KASHMIR,Himachal Pradesh,8609,2688,5921,726,643,83,109,74,35,165,95,70,4266,137,4129,72,49,23,1470,601,869,1801,1089,712
JAMMU & KASHMIR,Punjab,43938,12318,31620,3804,3237,567,816,708,108,440,219,221,23773,548,23225,618,387,231,7212,3162,4050,7275,4057,3218
JAMMU & KASHMIR,Chandigarh,611,249,362,88,73,15,7,7,0,17,10,7,153,6,147,26,13,13,183,71,112,137,69,68
JAMMU & KASHMIR,Uttarakhand,3180,1633,1547,447,390,57,37,29,8,60,36,24,361,57,304,42,26,16,1180,393,787,1053,702,351
JAMMU & KASHMIR,Haryana,5987,2744,3243,627,540,87,79,63,16,160,92,68,1164,75,1089,141,87,54,1883,695,1188,1933,1192,741
JAMMU & KASHMIR,NCT of Delhi,5269,2316,2953,991,911,80,85,70,15,121,67,54,1520,30,1490,205,112,93,1259,544,715,1088,582,506
JAMMU & KASHMIR,Rajasthan,6079,3190,2889,971,822,149,67,50,17,309,197,112,516,44,472,74,40,34,2108,720,1388,2034,1317,717
JAMMU & KASHMIR,Uttar Pradesh,20190,11520,8670,4393,3812,581,489,413,76,605,397,208,2026,141,1885,294,172,122,5997,2149,3848,6386,4436,1950
JAMMU & KASHMIR,Bihar,13200,6998,6202,3452,3039,413,267,206,61,378,280,98,2309,64,2245,143,76,67,3507,1350,2157,3144,1983,1161
JAMMU & KASHMIR,Sikkim,109,52,57,28,26,2,1,1,0,5,1,4,17,4,13,5,1,4,35,11,24,18,8,10
JAMMU & KASHMIR,Arunachal Pradesh,105,56,49,27,25,2,2,1,1,0,0,0,4,1,3,2,2,0,51,18,33,19,9,10
JAMMU & KASHMIR,Nagaland,97,42,55,14,13,1,0,0,0,4,1,3,12,0,12,3,1,2,37,9,28,27,18,9
JAMMU & KASHMIR,Manipur,227,114,113,17,16,1,2,1,1,3,3,0,12,2,10,3,2,1,103,25,78,87,65,22
JAMMU & KASHMIR,Mizoram,57,22,35,2,2,0,0,0,0,0,0,0,7,1,6,0,0,0,34,11,23,14,8,6
JAMMU & KASHMIR,Tripura,173,84,89,9,8,1,0,0,0,0,0,0,6,1,5,0,0,0,131,51,80,27,24,3
JAMMU & KASHMIR,Meghalaya,139,62,77,10,7,3,1,1,0,9,3,6,12,1,11,2,2,0,88,35,53,17,13,4
