AreaName,LastResidence,Persons_0to4,Males_0to4,Females_0to4,Persons_5to9,Males_5to9,Females_5to9,Persons_10to14,Males_10to14,Females_10to14,Persons_15to19,Males_15to19,Females_15to19,Persons_20to24,Males_20to24,Females_20to24,Persons_25to29,Males_25to29,Females_25to29,Persons_30to34,Males_30to34,Females_30to34,Persons_35to39,Males_35to39,Females_35to39,Persons_40to44,Males_40to44,Females_40to44,Persons_45to49,Males_45to49,Females_45to49,Persons_50to54,Males_50to54,Females_50to54,Persons_55to59,Males_55to59,Females_55to59,Persons_60to64,Males_60to64,Females_60to64,Persons_65to69,Males_65to69,Females_65to69,Persons_70to74,Males_70to74,Females_70to74,Persons_75to79,Males_75to79,Females_75to79,Persons_80plus,Males_80plus,Females_80plus,Persons_AgeNS,Males_AgeNS,Females_AgeNS
Jammu & Kashmir,Jammu & Kashmir,36219,19622,16597,46406,24890,21516,39678,22480,17198,44966,18339,26627,125822,16729,109093,175599,17073,158526,105145,16107,89038,49227,14629,34598,27792,12772,15020,20824,10507,10317,14609,8169,6440,9526,4939,4587,8234,4629,3605,4627,2343,2284,3887,1948,1939,1683,738,945,3395,1258,2137,661,256,405
Jammu & Kashmir,Himachal Pradesh,102,60,42,171,95,76,162,101,61,164,76,88,347,72,275,491,76,415,404,87,317,232,82,150,145,62,83,91,51,40,73,39,34,45,27,18,34,15,19,13,4,9,11,4,7,10,4,6,5,0,5,5,4,1
Jammu & Kashmir,Punjab,553,284,269,789,434,355,740,405,335,736,315,421,2090,390,1700,3397,636,2761,2113,552,1561,1017,456,561,695,374,321,486,266,220,287,154,133,199,100,99,152,72,80,77,41,36,46,24,22,31,7,24,60,22,38,8,5,3
Jammu & Kashmir,Chandigarh,27,16,11,46,20,26,25,14,11,22,14,8,32,14,18,43,5,38,47,12,35,34,15,19,28,12,16,12,6,6,13,6,7,3,2,1,8,5,3,3,2,1,1,1,0,0,0,0,2,1,1,0,0,0
Jammu & Kashmir,Uttarakhand,195,116,79,232,114,118,177,106,71,115,68,47,161,48,113,248,53,195,227,78,149,170,74,96,90,48,42,52,36,16,31,19,12,8,6,2,7,0,7,6,3,3,4,0,4,1,0,1,7,5,2,0,0,0
Jammu & Kashmir,Haryana,318,178,140,389,219,170,296,160,136,187,100,87,287,61,226,428,100,328,383,126,257,233,96,137,141,73,68,73,43,30,51,23,28,26,13,13,24,10,14,5,2,3,9,3,6,6,3,3,11,6,5,1,1,0
Jammu & Kashmir,NCT of Delhi,172,82,90,231,128,103,203,114,89,138,85,53,294,147,147,477,215,262,463,231,232,253,119,134,177,116,61,83,44,39,66,29,37,31,20,11,23,14,9,14,9,5,4,2,2,3,0,3,13,4,9,1,1,0
Jammu & Kashmir,Rajasthan,350,186,164,443,257,186,344,181,163,244,129,115,446,207,239,487,158,329,412,160,252,317,138,179,216,113,103,81,56,25,46,33,13,15,9,6,6,4,2,3,0,3,5,4,1,2,0,2,9,4,5,6,2,4
Jammu & Kashmir,Uttar Pradesh,976,525,451,1239,665,574,976,552,424,817,516,301,1413,744,669,1660,731,929,1348,626,722,902,479,423,581,337,244,328,212,116,158,102,56,82,49,33,55,36,19,33,18,15,21,14,7,16,6,10,28,11,17,6,3,3
Jammu & Kashmir,Bihar,544,302,242,689,351,338,650,432,218,511,327,184,972,482,490,1214,528,686,953,431,522,626,304,322,413,258,155,164,112,52,103,74,29,38,24,14,37,21,16,18,10,8,8,5,3,10,2,8,16,10,6,4,2,2
Jammu & Kashmir,Sikkim,5,1,4,13,9,4,4,2,2,1,1,0,4,1,3,6,2,4,14,4,10,11,9,2,4,4,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Arunachal Pradesh,13,7,6,10,6,4,3,1,2,5,4,1,5,1,4,14,6,8,12,7,5,4,4,0,6,2,4,2,2,0,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Jammu & Kashmir,Nagaland,3,1,2,7,5,2,5,1,4,2,2,0,9,1,8,10,3,7,8,3,5,2,1,1,5,3,2,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Manipur,16,11,5,12,6,6,5,3,2,6,1,5,16,5,11,14,2,12,17,5,12,7,2,5,7,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Mizoram,4,2,2,2,1,1,2,2,0,5,3,2,3,0,3,4,0,4,5,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
