state,district,districtCode,MainWorkers_Persons,MainWorkers_Males,MainWorkers_Females,MarginalWorkers_Persons,MarginalWorkers_Males,MarginalWorkers_Females,MarginalSeeking_Persons,MarginalSeeking_Males,MarginalSeeking_Females,NonWorkers_Persons,NonWorkers_Males,NonWorkers_Females,NonWorkersSeeking_Persons,NonWorkersSeeking_Males,NonWorkersSeeking_Females
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,6679,5511,1168,2696,1718,978,1164,785,379,9203,3599,5604,1532,557,975
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,20928,16809,4119,4445,2241,2204,1961,1213,748,37700,10768,26932,5448,1287,4161
ANDAMAN & NICOBAR ISLANDS,South Andaman,640,55382,45260,10122,7291,4673,2618,3902,2689,1213,72017,19675,52342,13552,3231,10321
ANDHRA PRADESH,Anantapur,553,707182,294953,412229,179432,35189,144243,70689,15549,55140,735738,222691,513047,49481,14732,34749
ANDHRA PRADESH,Chittoor,554,665342,297311,368031,120749,29177,91572,36774,11090,25684,840850,225710,615140,59513,17788,41725
ANDHRA PRADESH,East Godavari,545,710766,480728,230038,172094,57381,114713,74131,28119,46012,1618519,435954,1182565,99937,32257,67680
ANDHRA PRADESH,Guntur,548,952247,469770,482477,147171,39062,108109,53360,15403,37957,1154091,375365,778726,62808,21538,41270
ANDHRA PRADESH,Krishna,547,860613,496520,364093,166866,53270,113596,63342,21200,42142,1290721,415421,875300,77056,25655,51401
ANDHRA PRADESH,Kurnool,552,753998,286077,467921,142539,36218,106321,68204,18828,49376,696723,227452,469271,45618,15254,30364
ANDHRA PRADESH,Prakasam,549,554432,219338,335094,114431,20926,93505,47099,10514,36585,582783,174550,408233,36226,10630,25596
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,550,445879,253328,192551,119466,30521,88945,41371,13572,27799,745178,228840,516338,62979,24124,38855
ANDHRA PRADESH,Srikakulam,542,276503,105668,170835,127704,18960,108744,70086,11869,58217,447449,118817,328632,47269,10149,37120
ANDHRA PRADESH,Visakhapatnam,544,691538,434783,256755,204200,72693,131507,97210,36023,61187,1138222,367152,771070,97357,32363,64994
ANDHRA PRADESH,Vizianagaram,543,358689,154329,204360,97108,20901,76207,46879,12400,34479,486038,154111,331927,40134,11424,28710
ANDHRA PRADESH,West Godavari,546,649186,367498,281688,130079,33725,96354,49111,16398,32713,1164735,334391,830344,60041,19600,40441
ANDHRA PRADESH,Y.S.R.,551,467725,238462,229263,130449,29848,100601,48541,14924,33617,599976,175449,424527,46343,14170,32173
ARUNACHAL PRADESH,Anjaw,260,5002,2310,2692,502,76,426,105,20,85,3995,1808,2187,235,91,144
ARUNACHAL PRADESH,Changlang,253,27286,18519,8767,5422,1744,3678,1220,539,681,25804,8713,17091,2556,788,1768
ARUNACHAL PRADESH,Dibang Valley,257,1849,1128,721,653,362,291,346,195,151,2480,1095,1385,522,180,342
ARUNACHAL PRADESH,East Kameng,247,17785,6457,11328,2826,1004,1822,1399,547,852,15516,6218,9298,1841,671,1170
ARUNACHAL PRADESH,East Siang,251,16400,10470,5930,3098,1563,1535,1302,709,593,20517,7851,12666,3229,1083,2146
ARUNACHAL PRADESH,Kurung Kumey,256,11805,3855,7950,6632,1944,4688,2961,892,2069,12381,5515,6866,1099,456,643
ARUNACHAL PRADESH,Lohit,259,32313,21028,11285,5463,1835,3628,1738,700,1038,32088,11104,20984,2737,974,1763
ARUNACHAL PRADESH,Lower Dibang Valley,258,13563,9337,4226,1823,715,1108,1085,445,640,13444,5011,8433,1179,471,708
ARUNACHAL PRADESH,Lower Subansiri,255,13360,7679,5681,4217,1564,2653,1975,820,1155,17532,7236,10296,2557,1162,1395
ARUNACHAL PRADESH,Papum Pare,248,39928,26078,13850,11433,5507,5926,5160,2560,2600,66542,26540,40002,10103,3905,6198
ARUNACHAL PRADESH,Tawang,245,10841,8079,2762,1775,838,937,942,440,502,7552,3096,4456,912,273,639
ARUNACHAL PRADESH,Tirap,254,13983,8762,5221,1842,934,908,752,397,355,20125,8981,11144,2251,871,1380
ARUNACHAL PRADESH,Upper Siang,252,5581,3613,1968,1551,657,894,664,281,383,5681,2602,3079,577,233,344
ARUNACHAL PRADESH,Upper Subansiri,249,14149,5962,8187,3985,1316,2669,1831,738,1093,15207,6112,9095,2195,815,1380
ARUNACHAL PRADESH,West Kameng,246,19141,12941,6200,4699,2246,2453,1699,911,788,20005,7709,12296,3028,817,2211
ARUNACHAL PRADESH,West Siang,250,23707,11020,12687,3120,1408,1712,1089,633,456,26228,10287,15941,3606,1314,2292
ASSAM,Baksa,324,125453,78516,46937,73093,16616,56477,24928,8851,16077,203341,49911,153430,29724,7245,22479
ASSAM,Barpeta,303,126727,92441,34286,57106,10713,46393,25463,6775,18688,354663,50241,304422,63425,7107,56318
ASSAM,Bongaigaon,319,68820,52969,15851,29502,7094,22408,11872,4344,7528,162121,26692,135429,25814,4224,21590
ASSAM,Cachar,316,141433,97627,43806,52738,15763,36975,27062,10108,16954,348202,57789,290413,68981,10607,58374
ASSAM,Chirang,320,67330,42230,25100,29455,7687,21768,8806,3293,5513,102729,26710,76019,10933,2377,8556
ASSAM,Darrang,325,75542,54567,20975,38201,7034,31167,14153,3909,10244,182051,28514,153537,28686,3535,25151
ASSAM,Dhemaji,308,100134,62503,37631,54958,9523,45435,17572,4335,13237,91510,25438,66072,12604,3182,9422
ASSAM,Dhubri,301,133228,98099,35129,68166,13428,54738,33201,8597,24604,357881,42050,315831,70598,6425,64173
ASSAM,Dibrugarh,310,159112,95975,63137,74612,22241,52371,31503,11531,19972,254113,62298,191815,48648,10636,38012
ASSAM,Dima Hasao,315,34275,25556,8719,7751,2780,4971,2643,1215,1428,41069,13656,27413,5842,1818,4024
ASSAM,Goalpara,302,104041,77000,27041,44303,13039,31264,17980,7373,10607,199299,38136,161163,31000,4656,26344
ASSAM,Golaghat,313,125459,76526,48933,66833,13921,52912,20860,6107,14753,163072,31336,131736,24537,4013,20524
ASSAM,Hailakandi,318,41523,27649,13874,16962,4866,12096,7898,3186,4712,124969,16404,108565,25947,3157,22790
ASSAM,Jorhat,312,143816,86391,57425,77885,21959,55926,30276,10690,19586,222519,56254,166265,46302,9958,36344
ASSAM,Kamrup,321,132490,83283,49207,103609,19391,84218,37344,10274,27070,269821,48583,221238,51172,8569,42603
ASSAM,Kamrup Metropolitan,322,279606,224037,55569,50180,24539,25641,21943,11166,10777,389491,109679,279812,70580,20217,50363
ASSAM,Karbi Anglong,314,93764,66193,27571,48911,11245,37666,13471,4811,8660,124205,31179,93026,16989,4014,12975
ASSAM,Karimganj,317,95647,70947,24700,45191,15707,29484,21710,10334,11376,295322,56340,238982,49585,8268,41317
ASSAM,Kokrajhar,300,112267,73409,38858,45688,11680,34008,13840,5001,8839,186511,42099,144412,21367,5473,15894
ASSAM,Lakhimpur,307,83042,48154,34888,55042,6606,48436,14369,2679,11690,140030,20461,119569,22104,2655,19449
ASSAM,Morigaon,304,78676,52853,25823,42434,8505,33929,14117,4666,9451,175533,28334,147199,26006,3600,22406
ASSAM,Nagaon,305,218201,159018,59183,95172,25889,69283,34118,13435,20683,539970,78351,461619,76248,9405,66843
ASSAM,Nalbari,323,65188,47182,18006,33751,9825,23926,17533,6725,10808,189231,31381,157850,42045,6332,35713
ASSAM,Sivasagar,311,105691,58069,47622,64182,13081,51101,27162,6725,20437,206008,33064,172944,42217,5853,36364
ASSAM,Sonitpur,306,201924,140252,61672,88110,23474,64636,29629,10356,19273,336598,67123,269475,50603,8288,42315
ASSAM,Tinsukia,309,160966,106518,54448,57580,18160,39420,21558,8816,12742,215417,52406,163011,28753,7033,21720
ASSAM,Udalguri,326,90964,58095,32869,43687,9430,34257,14422,4972,9450,138137,27334,110803,18757,3774,14983
BIHAR,Araria,209,152481,40964,111517,157639,14151,143488,57360,8608,48752,305578,26555,279023,29691,2737,26954
BIHAR,Arwal,240,33298,4886,28412,30300,1393,28907,12067,830,11237,108855,4329,104526,11260,447,10813
BIHAR,Aurangabad,235,126063,46184,79879,140990,23455,117535,56107,13474,42633,469196,56949,412247,49987,6559,43428
BIHAR,Banka,225,86820,21777,65043,163372,15319,148053,65058,9334,55724,291887,22438,269449,29212,2255,26957
BIHAR,Begusarai,222,135805,55433,80372,127609,25952,101657,62994,16452,46542,570612,59370,511242,76974,8041,68933
BIHAR,Bhagalpur,224,128661,66907,61754,163502,32266,131236,84622,21437,63185,551983,69315,482668,63046,9320,53726
BIHAR,Bhojpur,231,102118,42107,60011,103890,19150,84740,38024,9963,28061,574862,58395,516467,50663,8439,42224
