state,district,districtCode,NeverMarried_Persons,NeverMarried_Males,NeverMarried_Females,CurrMarried_Persons,CurrMarried_Males,CurrMarried_Females,Widowed_Persons,Widowed_Males,Widowed_Females,Separated_Persons,Separated_Males,Separated_Females,Divorced_Persons,Divorced_Males,Divorced_Females,Unspecified_Persons,Unspecified_Males,Unspecified_Females
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,4801,3117,1684,4695,2885,1810,289,88,201,20,6,14,4,2,2,0,0,0
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,11734,6463,5271,13821,5180,8641,513,132,381,127,46,81,21,6,15,0,0,0
ANDAMAN & NICOBAR ISLANDS,South Andaman,640,25168,15598,9570,33638,14709,18929,1211,205,1006,277,148,129,64,21,43,0,0,0
ANDHRA PRADESH,Anantapur,553,155526,86140,69386,304611,71600,233011,13356,1788,11568,1437,216,1221,165,29,136,0,0,0
ANDHRA PRADESH,Chittoor,554,190849,103082,87767,345036,97422,247614,17851,2464,15387,2126,377,1749,230,42,188,0,0,0
ANDHRA PRADESH,East Godavari,545,361928,188579,173349,397444,104168,293276,19824,2324,17500,2758,414,2344,457,63,394,0,0,0
ANDHRA PRADESH,Guntur,548,273919,146714,127205,381620,111932,269688,20435,2849,17586,2917,600,2317,473,93,380,0,0,0
ANDHRA PRADESH,Krishna,547,323361,173910,149451,377755,120458,257297,21256,3312,17944,2882,636,2246,504,109,395,0,0,0
ANDHRA PRADESH,Kurnool,552,123493,67995,55498,265646,53437,212209,10032,1268,8764,774,123,651,120,25,95,0,0,0
ANDHRA PRADESH,Prakasam,549,141353,76655,64698,251757,60755,191002,10755,1362,9393,1317,233,1084,202,34,168,0,0,0
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,550,166878,91814,75064,240000,70248,169752,13121,1891,11230,1864,379,1485,201,46,155,0,0,0
ANDHRA PRADESH,Srikakulam,542,115924,62213,53711,164318,33005,131313,6520,691,5829,671,102,569,198,11,187,0,0,0
ANDHRA PRADESH,Visakhapatnam,544,255306,139937,115369,316723,107435,209288,14660,1999,12661,1488,319,1169,268,52,216,0,0,0
ANDHRA PRADESH,Vizianagaram,543,121878,65008,56870,148088,33978,114110,6608,811,5797,802,131,671,171,26,145,0,0,0
ANDHRA PRADESH,West Godavari,546,311175,162739,148436,325706,81341,244365,16671,2246,14425,2846,425,2421,467,66,401,0,0,0
ANDHRA PRADESH,Y.S.R.,551,119260,65386,53874,229441,65092,164349,12281,1672,10609,1056,196,860,137,25,112,0,0,0
ARUNACHAL PRADESH,Anjaw,260,2621,1659,962,2097,880,1217,50,11,39,15,3,12,2,2,0,0,0,0
ARUNACHAL PRADESH,Changlang,253,9202,5274,3928,11857,5072,6785,445,163,282,74,44,30,13,8,5,0,0,0
ARUNACHAL PRADESH,Dibang Valley,257,907,582,325,761,367,394,46,14,32,24,18,6,6,2,4,0,0,0
ARUNACHAL PRADESH,East Kameng,247,6037,3033,3004,6770,2218,4552,416,47,369,38,13,25,11,5,6,0,0,0
ARUNACHAL PRADESH,East Siang,251,7144,3777,3367,7130,3278,3852,231,63,168,75,30,45,31,8,23,0,0,0
ARUNACHAL PRADESH,Kurung Kumey,256,2934,1557,1377,4137,1050,3087,212,15,197,28,6,22,4,0,4,0,0,0
ARUNACHAL PRADESH,Lohit,259,13968,7770,6198,16162,6644,9518,618,197,421,149,88,61,36,13,23,0,0,0
ARUNACHAL PRADESH,Lower Dibang Valley,258,7357,4122,3235,6869,3317,3552,282,74,208,103,55,48,23,5,18,0,0,0
ARUNACHAL PRADESH,Lower Subansiri,255,8213,4617,3596,6779,2928,3851,305,48,257,79,42,37,11,2,9,0,0,0
ARUNACHAL PRADESH,Papum Pare,248,26696,13995,12701,22362,10447,11915,725,87,638,227,117,110,51,12,39,0,0,0
ARUNACHAL PRADESH,Tawang,245,6017,4283,1734,5097,3277,1820,128,33,95,58,47,11,19,5,14,0,0,0
