AreaName,BirthPlace,Total_Persons,Total_Males,Total_Females,Rural_Persons,Rural_Males,Rural_Females,Urban_Persons,Urban_Males,Urban_Females
JAMMU & KASHMIR,Himachal Pradesh,9187,2753,6434,3847,714,3133,5340,2039,3301
JAMMU & KASHMIR,Punjab,45780,12287,33493,18604,3543,15061,27176,8744,18432
JAMMU & KASHMIR,Chandigarh,553,218,335,131,54,77,422,164,258
JAMMU & KASHMIR,Uttarakhand,3442,1718,1724,811,346,465,2631,1372,1259
JAMMU & KASHMIR,Haryana,6676,3419,3257,1818,893,925,4858,2526,2332
JAMMU & KASHMIR,NCT of Delhi,4700,1717,2983,632,230,402,4068,1487,2581
JAMMU & KASHMIR,Rajasthan,6267,3747,2520,1537,881,656,4730,2866,1864
JAMMU & KASHMIR,Uttar Pradesh,22304,12660,9644,5225,2890,2335,17079,9770,7309
JAMMU & KASHMIR,Bihar,14995,8071,6924,4368,1890,2478,10627,6181,4446
JAMMU & KASHMIR,Sikkim,59,23,36,21,4,17,38,19,19
JAMMU & KASHMIR,Arunachal Pradesh,66,36,30,20,9,11,46,27,19
JAMMU & KASHMIR,Nagaland,88,35,53,26,9,17,62,26,36
JAMMU & KASHMIR,Manipur,215,104,111,71,25,46,144,79,65
JAMMU & KASHMIR,Mizoram,46,21,25,10,2,8,36,19,17
JAMMU & KASHMIR,Tripura,98,54,44,27,10,17,71,44,27
JAMMU & KASHMIR,Meghalaya,99,47,52,18,5,13,81,42,39
JAMMU & KASHMIR,Assam,1452,743,709,307,107,200,1145,636,509
JAMMU & KASHMIR,West Bengal,10142,2645,7497,5038,478,4560,5104,2167,2937
JAMMU & KASHMIR,Jharkhand,2170,1084,1086,988,453,535,1182,631,551
JAMMU & KASHMIR,Odisha,2631,1531,1100,561,318,243,2070,1213,857
JAMMU & KASHMIR,Chhattisgarh,10751,5867,4884,3923,2140,1783,6828,3727,3101
JAMMU & KASHMIR,Madhya Pradesh,8214,4548,3666,1670,880,790,6544,3668,2876
JAMMU & KASHMIR,Gujarat,1074,602,472,197,94,103,877,508,369
JAMMU & KASHMIR,Daman & Diu,3,1,2,1,0,1,2,1,1
JAMMU & KASHMIR,Dadra & Nagar Haveli,6,2,4,5,1,4,1,1,0
JAMMU & KASHMIR,Maharashtra,4759,2355,2404,809,275,534,3950,2080,1870
JAMMU & KASHMIR,Andhra Pradesh,2361,1412,949,373,165,208,1988,1247,741
JAMMU & KASHMIR,Karnataka,1484,856,628,247,79,168,1237,777,460
JAMMU & KASHMIR,Goa,70,34,36,13,1,12,57,33,24
JAMMU & KASHMIR,Lakshadweep,105,63,42,57,37,20,48,26,22
JAMMU & KASHMIR,Kerala,2156,1311,845,318,128,190,1838,1183,655
JAMMU & KASHMIR,Tamil Nadu,2442,1753,689,222,95,127,2220,1658,562
JAMMU & KASHMIR,Puducherry,16,8,8,3,2,1,13,6,7
JAMMU & KASHMIR,Andaman & Nicobar Islands,49,27,22,8,2,6,41,25,16
JAMMU & KASHMIR,Afganistan,5,1,4,2,1,1,3,0,3
JAMMU & KASHMIR,Bangladesh,309,137,172,221,97,124,88,40,48
JAMMU & KASHMIR,Bhutan,9,3,6,4,1,3,5,2,3
JAMMU & KASHMIR,China,1486,765,721,206,107,99,1280,658,622
JAMMU & KASHMIR,Indonesia,10,1,9,2,0,2,8,1,7
JAMMU & KASHMIR,Iran,37,18,19,31,15,16,6,3,3
JAMMU & KASHMIR,Iraq,23,12,11,5,2,3,18,10,8
JAMMU & KASHMIR,Japan,18,4,14,2,0,2,16,4,12
JAMMU & KASHMIR,Kuwait,2,1,1,1,1,0,1,0,1
JAMMU & KASHMIR,Malaysia,1,1,0,0,0,0,1,1,0
JAMMU & KASHMIR,Mayanmar,508,273,235,3,0,3,505,273,232
JAMMU & KASHMIR,Nepal,2253,1300,953,748,432,316,1505,868,637
JAMMU & KASHMIR,Pakistan,22936,11747,11189,13645,7009,6636,9291,4738,4553
JAMMU & KASHMIR,Saudi Arabia,38,15,23,5,1,4,33,14,19
JAMMU & KASHMIR,Singapore,8,4,4,1,0,1,7,4,3
JAMMU & KASHMIR,United Arab Emirates,28,8,20,11,4,7,17,4,13
JAMMU & KASHMIR,Kazakstan,5,2,3,1,0,1,4,2,2
JAMMU & KASHMIR,Vietnam,1,1,0,0,0,0,1,1,0
JAMMU & KASHMIR,France,7,0,7,2,0,2,5,0,5
JAMMU & KASHMIR,Germany,28,6,22,2,1,1,26,5,21
JAMMU & KASHMIR,UK,58,23,35,5,0,5,53,23,30
JAMMU & KASHMIR,Kenya,1,0,1,0,0,0,1,0,1
JAMMU & KASHMIR,Mauritius,3,0,3,0,0,0,3,0,3
JAMMU & KASHMIR,Nigeria,2,1,1,0,0,0,2,1,1
JAMMU & KASHMIR,Uganda,2,0,2,0,0,0,2,0,2
JAMMU & KASHMIR,Canada,20,7,13,1,0,1,19,7,12
JAMMU & KASHMIR,U.S.A.,105,47,58,0,0,0,105,47,58
