AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_LT1yr,Males_LT1yr,Females_LT1yr,Persons_1to4yr,Males_1to4yr,Females_1to4yr,Persons_5to9yr,Males_5to9yr,Females_5to9yr,Persons_10to19yr,Males_10to19yr,Females_10to19yr,Persons_20plusyr,Males_20plusyr,Females_20plusyr,Persons_DurNS,Males_DurNS,Females_DurNS
JAMMU & KASHMIR,Himachal Pradesh,8609,2688,5921,401,177,224,1391,505,886,815,213,602,1195,245,950,3340,666,2674,1467,882,585
JAMMU & KASHMIR,Punjab,43938,12318,31620,2489,1352,1137,6535,2163,4372,4848,1136,3712,8011,1821,6190,17112,3392,13720,4943,2454,2489
JAMMU & KASHMIR,Chandigarh,611,249,362,61,29,32,196,82,114,90,35,55,81,23,58,95,39,56,88,41,47
JAMMU & KASHMIR,Uttarakhand,3180,1633,1547,428,189,239,1139,519,620,220,87,133,222,85,137,291,128,163,880,625,255
JAMMU & KASHMIR,Haryana,5987,2744,3243,791,318,473,1717,783,934,448,153,295,553,175,378,914,325,589,1564,990,574
JAMMU & KASHMIR,NCT of Delhi,5269,2316,2953,388,199,189,1629,933,696,669,242,427,752,220,532,1116,358,758,715,364,351
JAMMU & KASHMIR,Rajasthan,6079,3190,2889,1069,544,525,2097,994,1103,338,139,199,407,199,208,417,187,230,1751,1127,624
JAMMU & KASHMIR,Uttar Pradesh,20190,11520,8670,2879,1583,1296,6085,3194,2891,1991,1011,980,2065,992,1073,1765,878,887,5405,3862,1543
JAMMU & KASHMIR,Bihar,13200,6998,6202,1659,983,676,3670,1965,1705,1935,876,1059,2277,954,1323,1253,632,621,2406,1588,818
JAMMU & KASHMIR,Sikkim,109,52,57,9,5,4,46,25,21,11,6,5,13,4,9,12,6,6,18,6,12
JAMMU & KASHMIR,Arunachal Pradesh,105,56,49,16,10,6,57,29,28,6,3,3,4,2,2,5,2,3,17,10,7
JAMMU & KASHMIR,Nagaland,97,42,55,14,6,8,40,17,23,4,1,3,4,0,4,6,3,3,29,15,14
JAMMU & KASHMIR,Manipur,227,114,113,41,16,25,52,25,27,14,5,9,5,2,3,5,1,4,110,65,45
JAMMU & KASHMIR,Mizoram,57,22,35,8,2,6,17,8,9,3,1,2,5,2,3,3,0,3,21,9,12
JAMMU & KASHMIR,Tripura,173,84,89,10,6,4,120,48,72,12,4,8,3,2,1,1,0,1,27,24,3
JAMMU & KASHMIR,Meghalaya,139,62,77,18,7,11,65,29,36,10,4,6,9,3,6,10,2,8,27,17,10
JAMMU & KASHMIR,Assam,1906,1095,811,179,93,86,922,544,378,74,22,52,100,37,63,105,46,59,526,353,173
JAMMU & KASHMIR,West Bengal,10164,2957,7207,1304,821,483,2147,645,1502,1471,194,1277,2150,209,1941,1339,155,1184,1753,933,820
JAMMU & KASHMIR,Jharkhand,2210,1197,1013,470,317,153,674,368,306,220,90,130,227,67,160,147,58,89,472,297,175
JAMMU & KASHMIR,Odisha,2233,1291,942,287,181,106,563,286,277,229,124,105,285,138,147,199,123,76,670,439,231
JAMMU & KASHMIR,Chhattisgarh,9949,5413,4536,2342,1280,1062,2695,1441,1254,1627,872,755,1740,953,787,607,345,262,938,522,416
JAMMU & KASHMIR,Madhya Pradesh,7599,4221,3378,1793,1001,792,1988,1017,971,888,432,456,918,481,437,540,299,241,1472,991,481
JAMMU & KASHMIR,Gujarat,1237,694,543,188,107,81,390,188,202,87,30,57,86,39,47,97,49,48,389,281,108
