AreaName,Females_Total,LastResidence,Males_Total,Persons_Business,Persons_Education,Persons_Marriage,Persons_MoveAfterBirth,Persons_MoveWithHH,Persons_Other,Persons_Total,Persons_Work,Males_Business,Males_Education,Males_Marriage,Males_MoveAfterBirth,Males_MoveWithHH,Males_Other,Males_Work,Females_Business,Females_Education,Females_Marriage,Females_MoveAfterBirth,Females_MoveWithHH,Females_Other,Females_Work
JAMMU & KASHMIR,5921,Himachal Pradesh,2688,109,165,4266,72,1470,1801,8609,726,74,95,137,49,601,1089,643,35,70,4129,23,869,712,83
JAMMU & KASHMIR,31620,Punjab,12318,816,440,23773,618,7212,7275,43938,3804,708,219,548,387,3162,4057,3237,108,221,23225,231,4050,3218,567
JAMMU & KASHMIR,362,Chandigarh,249,7,17,153,26,183,137,611,88,7,10,6,13,71,69,73,0,7,147,13,112,68,15
JAMMU & KASHMIR,1547,Uttarakhand,1633,37,60,361,42,1180,1053,3180,447,29,36,57,26,393,702,390,8,24,304,16,787,351,57
JAMMU & KASHMIR,3243,Haryana,2744,79,160,1164,141,1883,1933,5987,627,63,92,75,87,695,1192,540,16,68,1089,54,1188,741,87
JAMMU & KASHMIR,2953,NCT of Delhi,2316,85,121,1520,205,1259,1088,5269,991,70,67,30,112,544,582,911,15,54,1490,93,715,506,80
JAMMU & KASHMIR,2889,Rajasthan,3190,67,309,516,74,2108,2034,6079,971,50,197,44,40,720,1317,822,17,112,472,34,1388,717,149
JAMMU & KASHMIR,8670,Uttar Pradesh,11520,489,605,2026,294,5997,6386,20190,4393,413,397,141,172,2149,4436,3812,76,208,1885,122,3848,1950,581
JAMMU & KASHMIR,6202,Bihar,6998,267,378,2309,143,3507,3144,13200,3452,206,280,64,76,1350,1983,3039,61,98,2245,67,2157,1161,413
JAMMU & KASHMIR,57,Sikkim,52,1,5,17,5,35,18,109,28,1,1,4,1,11,8,26,0,4,13,4,24,10,2
JAMMU & KASHMIR,49,Arunachal Pradesh,56,2,0,4,2,51,19,105,27,1,0,1,2,18,9,25,1,0,3,0,33,10,2
JAMMU & KASHMIR,55,Nagaland,42,0,4,12,3,37,27,97,14,0,1,0,1,9,18,13,0,3,12,2,28,9,1
JAMMU & KASHMIR,113,Manipur,114,2,3,12,3,103,87,227,17,1,3,2,2,25,65,16,1,0,10,1,78,22,1
JAMMU & KASHMIR,35,Mizoram,22,0,0,7,0,34,14,57,2,0,0,1,0,11,8,2,0,0,6,0,23,6,0
JAMMU & KASHMIR,89,Tripura,84,0,0,6,0,131,27,173,9,0,0,1,0,51,24,8,0,0,5,0,80,3,1
JAMMU & KASHMIR,77,Meghalaya,62,1,9,12,2,88,17,139,10,1,3,1,2,35,13,7,0,6,11,0,53,4,3
JAMMU & KASHMIR,811,Assam,1095,22,40,179,51,491,867,1906,256,15,26,5,25,119,681,224,7,14,174,26,372,186,32
JAMMU & KASHMIR,7207,West Bengal,2957,112,87,5196,82,1375,1978,10164,1334,85,52,82,42,380,1138,1178,27,35,5114,40,995,840,156
JAMMU & KASHMIR,1013,Jharkhand,1197,31,47,372,23,505,541,2210,691,24,29,13,13,166,313,639,7,18,359,10,339,228,52
JAMMU & KASHMIR,942,Odisha,1291,39,27,243,33,508,773,2233,610,27,15,24,18,156,509,542,12,12,219,15,352,264,68
JAMMU & KASHMIR,4536,Chhattisgarh,5413,119,22,433,91,2890,1492,9949,4902,78,11,10,52,1180,822,3260,41,11,423,39,1710,670,1642
JAMMU & KASHMIR,3378,Madhya Pradesh,4221,67,97,538,143,2525,1939,7599,2290,46,63,23,87,1071,1290,1641,21,34,515,56,1454,649,649
JAMMU & KASHMIR,543,Gujarat,694,7,36,125,20,343,492,1237,214,3,25,6,11,105,356,188,4,11,119,9,238,136,26
JAMMU & KASHMIR,3,Daman & Diu,3,0,0,1,1,0,3,6,1,0,0,0,0,0,2,1,0,0,1,1,0,1,0
JAMMU & KASHMIR,13,Dadra & Nagar Haveli,4,0,0,11,0,2,3,17,1,0,0,0,0,1,3,0,0,0,11,0,1,0,1
JAMMU & KASHMIR,2355,Maharashtra,2367,50,93,660,100,1314,1936,4722,569,37,69,29,61,392,1285,494,13,24,631,39,922,651,75
JAMMU & KASHMIR,918,Andhra Pradesh,1167,13,34,142,36,607,882,2085,371,9,17,17,20,165,603,336,4,17,125,16,442,279,35
JAMMU & KASHMIR,619,Karnataka,694,12,32,180,28,313,515,1313,233,7,26,9,15,84,358,195,5,6,171,13,229,157,38
JAMMU & KASHMIR,45,Goa,71,4,6,11,3,21,35,116,36,4,3,2,2,7,18,35,0,3,9,1,14,17,1
JAMMU & KASHMIR,116,Lakshadweep,148,3,2,20,2,29,198,264,10,2,2,4,2,18,116,4,1,0,16,0,11,82,6
JAMMU & KASHMIR,618,Kerala,867,28,23,95,17,327,715,1485,280,16,13,21,8,91,499,219,12,10,74,9,236,216,61
JAMMU & KASHMIR,641,Tamil Nadu,1201,11,25,127,16,428,1025,1842,210,8,10,15,8,142,834,184,3,15,112,8,286,191,26
JAMMU & KASHMIR,12,Puducherry,6,0,0,8,0,2,6,18,2,0,0,0,0,0,5,1,0,0,8,0,2,1,1
JAMMU & KASHMIR,26,Andaman & Nicobar Islands,25,0,0,3,3,18,16,51,11,0,0,0,1,4,9,11,0,0,3,2,14,7,0
JAMMU & KASHMIR,8570,Other Countries,4301,85,107,5649,457,1643,4512,12871,418,66,70,178,255,890,2499,343,19,37,5471,202,753,2013,75
HIMACHAL PRADESH,7158,Jammu & Kashmir,8407,284,677,3922,291,2920,2725,15565,4746,266,388,113,175,1168,1896,4401,18,289,3809,116,1752,829,345
HIMACHAL PRADESH,91605,Punjab,39246,1157,2148,65610,9672,21116,16285,130851,14863,992,1079,971,5832,9093,9248,12031,165,1069,64639,3840,12023,7037,2832
HIMACHAL PRADESH,5294,Chandigarh,5842,85,383,1961,1537,2625,2548,11136,1997,71,240,53,856,1138,1774,1710,14,143,1908,681,1487,774,287
HIMACHAL PRADESH,13648,Uttarakhand,9092,141,426,8329,483,5429,2237,22740,5695,109,263,138,275,1934,1293,5080,32,163,8191,208,3495,944,615
HIMACHAL PRADESH,23741,Haryana,12009,527,634,15998,1730,7505,4204,35750,5152,465,419,257,1006,3094,2411,4357,62,215,15741,724,4411,1793,795
HIMACHAL PRADESH,8494,NCT of Delhi,9973,239,745,3025,1043,5454,4281,18467,3680,201,493,71,597,2251,3127,3233,38,252,2954,446,3203,1154,447
HIMACHAL PRADESH,3899,Rajasthan,4753,92,301,818,226,3352,1196,8652,2667,81,224,17,144,1257,858,2172,11,77,801,82,2095,338,495
HIMACHAL PRADESH,24843,Uttar Pradesh,41162,764,900,5448,1068,21673,7471,66005,28681,684,618,136,626,8516,5314,25268,80,282,5312,442,13157,2157,3413
HIMACHAL PRADESH,10765,Bihar,26835,164,507,1350,389,10682,3444,37600,21064,143,429,56,224,4040,2499,19444,21,78,1294,165,6642,945,1620
HIMACHAL PRADESH,188,Sikkim,656,9,175,50,6,113,188,844,303,7,157,4,5,47,159,277,2,18,46,1,66,29,26
HIMACHAL PRADESH,455,Arunachal Pradesh,597,5,445,37,8,124,314,1052,119,2,256,1,5,38,194,101,3,189,36,3,86,120,18
HIMACHAL PRADESH,55,Nagaland,117,1,17,15,9,58,42,172,30,0,15,0,6,28,39,29,1,2,15,3,30,3,1
HIMACHAL PRADESH,98,Manipur,122,1,17,18,6,61,63,220,54,1,10,0,4,19,44,44,0,7,18,2,42,19,10
HIMACHAL PRADESH,43,Mizoram,34,0,8,8,4,25,16,77,16,0,6,0,2,4,12,10,0,2,8,2,21,4,6
HIMACHAL PRADESH,55,Tripura,76,0,5,29,4,28,28,131,37,0,5,1,2,8,24,36,0,0,28,2,20,4,1
HIMACHAL PRADESH,80,Meghalaya,117,1,23,20,1,52,68,197,32,1,14,0,0,20,54,28,0,9,20,1,32,14,4
HIMACHAL PRADESH,831,Assam,1303,9,68,280,55,547,444,2134,731,8,48,6,34,198,341,668,1,20,274,21,349,103,63
HIMACHAL PRADESH,2324,West Bengal,3573,70,115,680,82,1612,784,5897,2554,61,84,17,50,523,545,2293,9,31,663,32,1089,239,261
HIMACHAL PRADESH,3507,Jharkhand,7138,24,81,437,85,2494,932,10645,6592,15,58,17,41,854,668,5485,9,23,420,44,1640,264,1107
HIMACHAL PRADESH,1032,Odisha,2263,10,56,228,36,803,269,3295,1893,8,29,10,13,248,182,1773,2,27,218,23,555,87,120
HIMACHAL PRADESH,2283,Chhattisgarh,2725,2,52,250,31,1790,383,5008,2500,1,28,9,14,746,234,1693,1,24,241,17,1044,149,807
HIMACHAL PRADESH,2167,Madhya Pradesh,4342,15,142,485,122,1915,1260,6509,2570,13,94,19,82,737,1075,2322,2,48,466,40,1178,185,248
HIMACHAL PRADESH,641,Gujarat,937,16,30,129,82,579,340,1578,402,11,17,3,46,212,267,381,5,13,126,36,367,73,21
HIMACHAL PRADESH,16,Daman & Diu,15,0,1,0,0,19,0,31,11,0,0,0,0,4,0,11,0,1,0,0,15,0,0
