AreaName,Illiterate_Persons,Illiterate_Males,Illiterate_Females,Literate_Persons,Literate_Males,Literate_Females,BelowMatric_Persons,BelowMatric_Males,BelowMatric_Females,MatricToGrad_Persons,MatricToGrad_Males,MatricToGrad_Females,TechDiploma_Persons,TechDiploma_Males,TechDiploma_Females,Graduate_Persons,Graduate_Males,Graduate_Females,TechDegree_Persons,TechDegree_Males,TechDegree_Females
India,176283559,33938624,142344935,279504062,112207343,167296719,148537102,52782106,95754996,75434320,33096490,42337830,3712385,2540202,1172183,28253534,14043831,14209703,6852999,4134328,2718671
Jammu & Kashmir,1342794,255001,1087793,1466835,577332,889503,693256,255265,437991,495603,196506,299097,12470,7792,4678,153206,68955,84251,51756,25378,26378
Himachal Pradesh,771512,129181,642331,1875555,537952,1337603,890596,223237,667359,666728,195035,471693,21800,11939,9861,191164,75149,116015,36133,17160,18973
Punjab,4686374,1320498,3365876,9049242,3760321,5288921,4245713,1706639,2539074,3246685,1396309,1850376,130176,72586,57590,867119,362924,504195,216401,95297,121104
Chandigarh,143197,59205,83992,534991,303113,231878,193155,111161,81994,173292,102264,71028,9971,6704,3267,122242,64121,58121,26264,14173,12091
Uttarakhand,1448544,286757,1161787,2868910,1194550,1674360,1388508,500232,888276,802857,375352,427505,20582,16827,3755,495180,227703,267477,70982,45305,25677
Haryana,4148455,769715,3378740,6437005,2425815,4011190,2984216,973954,2010262,2024769,819182,1205587,84823,50942,33881,899603,398779,500824,216129,116391,99738
NCT of Delhi,1670527,589900,1080627,5553987,3161448,2392539,2143692,1165209,978483,1745070,1055963,689107,51242,33919,17323,1158069,647774,510295,200037,128713,71324
Rajasthan,12448266,1256048,11192218,9623216,3346874,6276342,5710223,1667469,4042754,1935645,861171,1074474,56092,36009,20083,1005697,491342,514355,211465,117485,93980
Uttar Pradesh,30109173,3069686,27039487,26342910,8122175,18220735,13528366,3448891,10079475,6857388,2378502,4478886,69896,57898,11998,3538041,1451120,2086921,445582,274606,170976
Bihar,16090673,1316998,14773675,11154196,2520404,8633792,6124650,1119110,5005540,2927293,712128,2215165,8576,6034,2542,871190,414587,456603,96057,65306,30751
Sikkim,67385,21812,45573,179664,87261,92403,112027,52891,59136,40164,19607,20557,906,664,242,14965,8041,6924,2862,1968,894
Arunachal Pradesh,257924,98018,159906,372907,202811,170096,223921,117204,106717,97264,52816,44448,2870,2298,572,30469,19473,10996,6159,4655,1504
Nagaland,120375,53093,67282,429243,228026,201217,243060,126463,116597,111239,58751,52488,3056,2156,900,42483,24957,17526,5116,3439,1677
Manipur,208542,58089,150453,478393,183148,295245,232490,91181,141309,144061,52260,91801,2419,673,1746,65562,25155,40407,5465,2561,2904
Mizoram,55257,24280,30977,332113,169108,163005,235121,117037,118084,64134,32482,31652,1019,616,403,21552,13279,8273,3724,2662,1062
Tripura,258870,82818,176052,1040753,401588,639165,727252,267851,459401,173715,72580,101135,2410,1820,590,53467,28348,25119,5673,4051,1622
Meghalaya,263758,131185,132573,495796,274202,221594,335493,185066,150427,98157,54346,43811,1417,883,534,28524,15412,13112,5021,2939,2082
Assam,3998951,1115612,2883339,6645283,2556406,4088877,4150185,1507618,2642567,1559196,620463,938733,19291,15434,3857,463918,238565,225353,46740,31812,14928
West Bengal,11096219,2483546,8612673,22352253,7757205,14595048,14937223,4503074,10434149,4267031,1734301,2532730,65838,56263,9575,1969558,1041425,928133,188058,131630,56428
Jharkhand,4977243,435555,4541688,4682459,1564904,3117555,2487098,635546,1851552,1283633,504411,779222,31699,27083,4616,535711,293080,242631,66109,46077,20032
Odisha,6033325,1067142,4966183,9388468,3159284,6229184,6095898,1777082,4318816,1933499,748565,1184934,76710,58172,18538,733773,368400,365373,168745,100367,68378
Chhattisgarh,3962923,547119,3415804,4925152,1770379,3154773,3126369,924745,2201624,1038946,476803,562143,28821,25041,3780,486665,252020,234645,67229,46382,20847
Madhya Pradesh,11928813,1773092,10155721,12806306,4640682,8165624,7713033,2391457,5321576,2650852,1181838,1469014,54844,46936,7908,1376205,679293,696912,201234,131433,69801
Gujarat,8648736,1906873,6741863,18249550,8087479,10162071,9993036,3976210,6016826,4671952,2361394,2310558,368856,227863,140993,1565046,796401,768645,387234,262221,125013
Daman & Diu,30537,15319,15218,118055,83216,34839,62118,43111,19007,40056,29426,10630,1862,1399,463,7587,4853,2734,1533,1062,471
Dadra & Nagar Haveli,52259,16466,35793,135798,86775,49023,62907,37300,25607,43658,30432,13226,3416,2705,711,13332,8261,5071,3244,2159,1085
Maharashtra,15425016,4764038,10660978,41951760,19421565,22530195,21258574,8875774,12382800,12315893,6240021,6075872,531631,415609,116022,4030449,2180497,1849952,1261524,788383,473141
Andhra Pradesh,15562048,4113241,11448807,22798596,10481403,12317193,10952962,4446629,6506333,6607472,3122742,3484730,340192,273938,66254,2314597,1343247,971350,855869,533336,322533
Karnataka,8797665,2302613,6495052,17665505,7901810,9763695,8360753,3366090,4994663,5319327,2420703,2898624,398500,290641,107859,1631243,900416,730827,731291,461677,269614
Goa,234335,94387,139948,906355,442869,463486,388589,187838,200751,283605,143328,140277,29004,19677,9327,98789,45461,53328,23676,13187,10489
Lakshadweep,2789,1382,1407,17612,10515,7097,9328,5253,4075,5262,3374,1888,650,424,226,1070,688,382,565,375,190
Kerala,2773331,1216537,1556794,15090088,6095898,8994190,7378399,3130212,4248187,4866006,1858932,3007074,526179,254553,271626,1256902,458418,798484,335692,134469,201223
Tamil Nadu,8458067,2485975,5972092,22816040,10298351,12517689,11196361,4680388,6515973,6730379,3079679,3650700,729023,497204,231819,2133319,1056274,1077045,879704,510742,368962
Puducherry,161060,57128,103932,551341,262535,288806,251048,109879,141169,170380,82027,88353,22952,15740,7212,64923,33180,31743,26422,15053,11369
