AreaName,MainWorkers_Persons,MainWorkers_Males,MainWorkers_Females,MarginalWorkers_Persons,MarginalWorkers_Males,MarginalWorkers_Females,MarginalSeeking_Persons,MarginalSeeking_Males,MarginalSeeking_Females,NonWorkers_Persons,NonWorkers_Males,NonWorkers_Females,NonWorkersSeeking_Persons,NonWorkersSeeking_Males,NonWorkersSeeking_Females
Jammu & Kashmir,536699,365622,171077,483596,107575,376021,184474,60366,124108,1789334,359136,1430198,288100,55382,232718
Himachal Pradesh,842331,351321,491010,728124,74954,653170,243947,35334,208613,1076612,240858,835754,139047,24855,114192
Punjab,3526577,2627656,898921,792021,285499,506522,319857,135885,183972,9417018,2167664,7249354,835299,208042,627257
Chandigarh,296779,243608,53171,12993,7548,5445,5453,3410,2043,368416,111162,257254,29604,9710,19894
Uttarakhand,1453123,776676,676447,524429,118574,405855,191385,63380,128005,2339902,586057,1753845,194788,62771,132017
Haryana,2686081,1691201,994880,1047672,210375,837297,322938,103856,219082,6851707,1293954,5557753,506563,109330,397233
NCT of Delhi,3009234,2609410,399824,160286,112487,47799,65825,49588,16237,4054994,1029451,3025543,236523,97829,138694
Rajasthan,7340668,2436296,4904372,4985037,323818,4661219,1724901,170841,1554060,9745777,1842808,7902969,788283,141196,647087
Uttar Pradesh,10683113,5315268,5367845,8060737,1422943,6637794,2611839,720005,1891834,37708233,4453650,33254583,2953663,509172,2444491
Bihar,4779515,1607829,3171686,4952458,632660,4319798,2007144,370491,1636653,17512896,1596913,15915983,1787761,192427,1595334
Sikkim,108022,65317,42705,34807,10989,23818,7896,2871,5025,104220,32767,71453,11886,3354,8532
Arunachal Pradesh,266693,157238,109455,59041,23713,35328,24268,10827,13441,305097,119878,185219,38627,14104,24523
Nagaland,245982,160078,85904,68274,27604,40670,22658,11063,11595,235362,93437,141925,33625,14379,19246
Manipur,240668,111158,129510,113026,26236,86790,43570,12128,31442,333241,103843,229398,55966,16104,39862
Mizoram,181708,116733,64975,31496,12114,19382,9364,4703,4661,174166,64541,109625,18892,7337,11555
Tripura,387979,286739,101240,175240,44327,130913,114296,31638,82658,736404,153340,583064,233302,28637,204665
Meghalaya,320662,228965,91697,75147,37914,37233,28631,15897,12734,363745,138508,225237,38470,13443,25027
Assam,3165319,2156059,1009260,1465102,364196,1100906,555433,190274,365159,6013813,1151763,4862050,1009467,172421,837046
West Bengal,7799804,5341387,2458417,3654148,853971,2800177,2203976,593790,1610186,21994520,4045393,17949127,6421331,811434,5609897
Jharkhand,2182526,1012702,1169824,2578954,234072,2344882,1149989,143774,1006215,4898222,753685,4144537,580539,107923,472616
Odisha,3303909,2013824,1290085,3113891,530051,2583840,1454148,326157,1127991,9003993,1682551,7321442,1053332,208345,844987
Chhattisgarh,3362005,1314104,2047901,1918880,205606,1713274,856443,124858,731585,3607190,797788,2809402,302891,66251,236640
Madhya Pradesh,8316604,3333678,4982926,4555711,576321,3979390,1924260,343382,1580878,11862804,2503775,9359029,953074,210942,742132
Gujarat,8546373,5778633,2767740,2658082,368357,2289725,470456,114426,356030,15693831,3847362,11846469,567366,167273,400093
Daman & Diu,85732,78275,7457,3016,1955,1061,635,443,192,59844,18305,41539,2771,733,2038
Dadra & Nagar Haveli,85904,72989,12915,15345,4736,10609,2158,808,1350,86808,25516,61292,3850,773,3077
Maharashtra,23274550,13060893,10213657,3307385,1050330,2257055,1072456,425159,647297,30794841,10074380,20720461,1460874,590705,870169
Andhra Pradesh,15272056,7436796,7835260,3419805,971148,2448657,1439280,439997,999283,19668783,6186700,13482083,1436270,467839,968431
Karnataka,10060989,5508033,4552956,2323839,620642,1703197,497158,182788,314370,14078342,4075748,10002594,726630,230788,495842
Goa,351243,252375,98868,74896,42833,32063,33477,19612,13865,714551,242048,472503,93526,30819,62707
Lakshadweep,6368,5421,947,2202,1833,369,1534,1215,319,11831,4643,7188,3184,1267,1917
Kerala,4201738,2876207,1325531,1170689,534516,636173,574758,272005,302753,12490992,3901712,8589280,2349359,563619,1785740
Tamil Nadu,11894251,6792044,5102207,2253600,797767,1455833,697727,285765,411962,17126256,5194515,11931741,1487755,424676,1063079
Puducherry,221603,163346,58257,24341,12157,12184,8397,4429,3968,466457,144160,322297,38142,11284,26858
Andaman & Nicobar Islands,82989,67580,15409,14432,8632,5800,7027,4687,2340,118920,34042,84878,20532,5075,15457
