AreaName,NeverMarried_Persons,NeverMarried_Males,NeverMarried_Females,CurrMarried_Persons,CurrMarried_Males,CurrMarried_Females,Widowed_Persons,Widowed_Males,Widowed_Females,Separated_Persons,Separated_Males,Separated_Females,Divorced_Persons,Divorced_Males,Divorced_Females,Unspecified_Persons,Unspecified_Males,Unspecified_Females
Jammu & Kashmir,229239,133047,96192,585203,106728,478475,12755,2787,9968,1184,363,821,728,175,553,0,0,0
Himachal Pradesh,267393,160625,106768,637775,148689,489086,13711,2477,11234,1451,415,1036,750,183,567,0,0,0
Punjab,1286514,746246,540268,2362515,554029,1808486,76827,17880,58947,13339,6629,6710,4291,1438,2853,0,0,0
Chandigarh,113692,73886,39806,142335,61266,81069,4153,881,3272,375,179,196,231,71,160,0,0,0
Uttarakhand,554143,336196,217947,1029725,296117,733608,36898,7407,29491,2526,684,1842,905,248,657,0,0,0
Haryana,1022233,606846,415387,2529039,606216,1922823,68371,15578,52793,4495,1388,3107,2122,713,1409,0,0,0
NCT of Delhi,949086,623318,325768,1588727,677942,910785,57819,13753,44066,3603,1264,2339,1677,591,1086,0,0,0
Rajasthan,1726384,983594,742790,5378979,762781,4616198,99063,18166,80897,11733,2430,9303,3367,717,2650,0,0,0
Uttar Pradesh,2480523,1400088,1080435,11657253,1499548,10157705,256262,53932,202330,13393,3543,9850,5534,1415,4119,0,0,0
Bihar,670997,357342,313655,6152464,406753,5745711,81103,11967,69136,3916,1043,2873,959,122,837,0,0,0
Sikkim,41325,24099,17226,58806,22195,36611,1533,411,1122,626,271,355,184,98,86,0,0,0
Arunachal Pradesh,126941,70455,56486,120459,52425,68034,4381,1006,3375,1147,622,525,296,87,209,0,0,0
Nagaland,138965,78551,60414,109861,49447,60414,3831,769,3062,1337,722,615,691,209,482,0,0,0
Manipur,67022,35197,31825,123588,24561,99027,4017,540,3477,674,243,431,463,93,370,0,0,0
Mizoram,67055,36456,30599,62897,28529,34368,2949,575,2374,1375,677,698,1985,726,1259,0,0,0
Tripura,78143,44163,33980,264406,58356,206050,9118,1236,7882,1771,411,1360,643,96,547,0,0,0
Meghalaya,93020,48175,44845,110793,63021,47772,3201,551,2650,1420,444,976,322,82,240,0,0,0
Assam,623305,353464,269841,2196158,420678,1775480,63943,8085,55858,7799,2438,5361,4914,526,4388,0,0,0
West Bengal,2381543,1307683,1073860,6350424,981674,5368750,165993,21709,144284,25855,5591,20264,9506,1283,8223,0,0,0
Jharkhand,581011,324019,256992,2358174,341416,2016758,54497,8322,46175,4241,587,3654,1086,122,964,0,0,0
Odisha,1287408,704333,583075,3067572,523991,2543581,82051,12107,69944,14165,1595,12570,3376,299,3077,0,0,0
Chhattisgarh,858272,478742,379530,2064064,415196,1648868,58978,10366,48612,16838,2005,14833,4802,493,4309,0,0,0
Madhya Pradesh,2235787,1255189,980598,5544750,994736,4550014,139743,29830,109913,21427,4190,17237,6284,1215,5069,0,0,0
Gujarat,3670603,2192383,1478220,5652771,1652095,4000676,155802,31749,124053,27184,15146,12038,15182,4883,10299,0,0,0
Daman & Diu,52530,41713,10817,53245,34208,19037,578,132,446,314,265,49,40,11,29,0,0,0
Dadra & Nagar Haveli,52002,38632,13370,64507,34248,30259,984,210,774,559,470,89,43,15,28,0,0,0
Maharashtra,8908968,5222433,3686535,11202406,3609141,7593265,427674,71343,356331,58011,15646,42365,23139,4771,18368,0,0,0
Andhra Pradesh,4221760,2292978,1928782,6539593,1853862,4685731,294300,38756,255544,34019,6084,27935,6571,1188,5383,0,0,0
Karnataka,3620385,2095383,1525002,5328308,1544300,3784008,219368,26068,193300,25770,5051,20719,3875,933,2942,0,0,0
Goa,223101,126652,96449,202249,76224,126025,8820,1143,7677,682,174,508,279,82,197,0,0,0
Lakshadweep,6802,4064,2738,8418,5145,3273,206,40,166,30,8,22,23,7,16,0,0,0
Kerala,3055902,1602659,1453243,2791073,780667,2010406,139531,13813,125718,18809,3685,15124,5035,902,4133,0,0,0
Tamil Nadu,4209159,2295201,1913958,5943137,1974486,3968651,324231,46795,277436,43365,8695,34670,6832,1570,5262,0,0,0
Puducherry,124670,66425,58245,140459,54534,85925,10192,1300,8892,1172,257,915,248,52,196,0,0,0
Andaman & Nicobar Islands,41703,25178,16525,52154,22774,29380,2013,425,1588,424,200,224,89,29,60,0,0,0
