Area Name,Birth place,Total,Male,Female,Rural_Total,Urban_Total
State - JAMMU & KASHMIR (01),Himachal Pradesh,9187,2753,6434,3847,5340
State - JAMMU & KASHMIR (01),Punjab,45780,12287,33493,18604,27176
State - JAMMU & KASHMIR (01),Chandigarh,553,218,335,131,422
State - JAMMU & KASHMIR (01),Uttarakhand,3442,1718,1724,811,2631
State - JAMMU & KASHMIR (01),Haryana,6676,3419,3257,1818,4858
State - JAMMU & KASHMIR (01),NCT of Delhi,4700,1717,2983,632,4068
State - JAMMU & KASHMIR (01),Rajasthan,6267,3747,2520,1537,4730
State - JAMMU & KASHMIR (01),Uttar Pradesh,22304,12660,9644,5225,17079
State - JAMMU & KASHMIR (01),Bihar,14995,8071,6924,4368,10627
State - JAMMU & KASHMIR (01),Sikkim,59,23,36,21,38
State - JAMMU & KASHMIR (01),Arunachal Pradesh,66,36,30,20,46
State - JAMMU & KASHMIR (01),Nagaland,88,35,53,26,62
State - JAMMU & KASHMIR (01),Manipur,215,104,111,71,144
State - JAMMU & KASHMIR (01),Mizoram,46,21,25,10,36
State - JAMMU & KASHMIR (01),Tripura,98,54,44,27,71
State - JAMMU & KASHMIR (01),Meghalaya,99,47,52,18,81
State - JAMMU & KASHMIR (01),Assam,1452,743,709,307,1145
State - JAMMU & KASHMIR (01),West Bengal,10142,2645,7497,5038,5104
State - JAMMU & KASHMIR (01),Jharkhand,2170,1084,1086,988,1182
State - JAMMU & KASHMIR (01),Odisha,2631,1531,1100,561,2070
State - JAMMU & KASHMIR (01),Chhattisgarh,10751,5867,4884,3923,6828
State - JAMMU & KASHMIR (01),Madhya Pradesh,8214,4548,3666,1670,6544
State - JAMMU & KASHMIR (01),Gujarat,1074,602,472,197,877
State - JAMMU & KASHMIR (01),Daman & Diu,3,1,2,1,2
State - JAMMU & KASHMIR (01),Dadra & Nagar Haveli,6,2,4,5,1
State - JAMMU & KASHMIR (01),Maharashtra,4759,2355,2404,809,3950
State - JAMMU & KASHMIR (01),Andhra Pradesh,2361,1412,949,373,1988
State - JAMMU & KASHMIR (01),Karnataka,1484,856,628,247,1237
State - JAMMU & KASHMIR (01),Goa,70,34,36,13,57
State - JAMMU & KASHMIR (01),Lakshadweep,105,63,42,57,48
State - JAMMU & KASHMIR (01),Kerala,2156,1311,845,318,1838
State - JAMMU & KASHMIR (01),Tamil Nadu,2442,1753,689,222,2220
State - JAMMU & KASHMIR (01),Puducherry,16,8,8,3,13
State - JAMMU & KASHMIR (01),Andaman & Nicobar Islands,49,27,22,8,41
State - JAMMU & KASHMIR (01),Afganistan,5,1,4,2,3
State - JAMMU & KASHMIR (01),Bangladesh,309,137,172,221,88
State - JAMMU & KASHMIR (01),Bhutan,9,3,6,4,5
State - JAMMU & KASHMIR (01),China,1486,765,721,206,1280
State - JAMMU & KASHMIR (01),Indonesia,10,1,9,2,8
State - JAMMU & KASHMIR (01),Iran,37,18,19,31,6
State - JAMMU & KASHMIR (01),Iraq,23,12,11,5,18
State - JAMMU & KASHMIR (01),Japan,18,4,14,2,16
State - JAMMU & KASHMIR (01),Kuwait,2,1,1,1,1
State - JAMMU & KASHMIR (01),Malaysia,1,1,0,0,1
State - JAMMU & KASHMIR (01),Mayanmar,508,273,235,3,505
State - JAMMU & KASHMIR (01),Nepal,2253,1300,953,748,1505
State - JAMMU & KASHMIR (01),Pakistan,22936,11747,11189,13645,9291
State - JAMMU & KASHMIR (01),Saudi Arabia,38,15,23,5,33
State - JAMMU & KASHMIR (01),Singapore,8,4,4,1,7
State - JAMMU & KASHMIR (01),United Arab Emirates,28,8,20,11,17
State - JAMMU & KASHMIR (01),Kazakstan,5,2,3,1,4
State - JAMMU & KASHMIR (01),Vietnam,1,1,0,0,1
State - JAMMU & KASHMIR (01),France,7,0,7,2,5
State - JAMMU & KASHMIR (01),Germany,28,6,22,2,26
State - JAMMU & KASHMIR (01),UK,58,23,35,5,53
State - JAMMU & KASHMIR (01),Kenya,1,0,1,0,1
State - JAMMU & KASHMIR (01),Mauritius,3,0,3,0,3
State - JAMMU & KASHMIR (01),Nigeria,2,1,1,0,2
State - JAMMU & KASHMIR (01),Uganda,2,0,2,0,2
State - JAMMU & KASHMIR (01),Canada,20,7,13,1,19
State - JAMMU & KASHMIR (01),U.S.A.,105,47,58,0,105
State - JAMMU & KASHMIR (01),Australia,15,5,10,5,10
State - JAMMU & KASHMIR (01),Fiji,3,1,2,0,3
State - HIMACHAL PRADESH (02),Jammu & Kashmir,13919,6934,6985,8726,5193
State - HIMACHAL PRADESH (02),Punjab,128605,35416,93189,93164,35441
State - HIMACHAL PRADESH (02),Chandigarh,7975,3277,4698,4045,3930
State - HIMACHAL PRADESH (02),Uttarakhand,23094,8934,14160,14444,8650
State - HIMACHAL PRADESH (02),Haryana,35173,11252,23921,20857,14316
State - HIMACHAL PRADESH (02),NCT of Delhi,13231,5647,7584,7007,6224
