state,district,districtCode,origin,Persons_Total,Males_Total,Females_Total,Persons_LT1yr,Males_LT1yr,Females_LT1yr,Persons_1to4yr,Males_1to4yr,Females_1to4yr,Persons_5to9yr,Males_5to9yr,Females_5to9yr,Persons_10to19yr,Males_10to19yr,Females_10to19yr,Persons_20plusyr,Males_20plusyr,Females_20plusyr,Persons_DurNS,Males_DurNS,Females_DurNS
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,JHARKHAND,952,687,265,365,357,8,125,77,48,63,39,24,75,39,36,309,164,145,15,11,4
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,TAMIL NADU,673,405,268,66,38,28,134,85,49,84,44,40,125,68,57,257,168,89,7,2,5
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,WEST BENGAL,529,448,81,166,146,20,242,199,43,64,52,12,25,23,2,11,9,2,21,19,2
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ANDHRA PRADESH,405,199,206,23,13,10,69,28,41,63,32,31,73,36,37,172,88,84,5,2,3
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,CHHATTISGARH,275,158,117,12,6,6,49,32,17,24,15,9,36,17,19,148,86,62,6,2,4
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,KERALA,86,52,34,23,18,5,17,8,9,9,4,5,8,5,3,28,16,12,1,1,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ODISHA,80,59,21,35,31,4,18,14,4,2,2,0,11,6,5,12,5,7,2,1,1
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,PUNJAB,55,30,25,5,2,3,8,5,3,6,2,4,11,5,6,24,15,9,1,1,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ASSAM,52,51,1,49,49,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,UTTAR PRADESH,49,22,27,18,5,13,9,5,4,11,6,5,3,1,2,7,4,3,1,1,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,TRIPURA,49,49,0,47,47,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,MAHARASHTRA,36,14,22,10,4,6,12,4,8,4,2,2,5,3,2,3,0,3,2,1,1
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,MADHYA PRADESH,35,24,11,2,1,1,0,0,0,3,3,0,16,10,6,12,8,4,2,2,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,BIHAR,25,17,8,8,6,2,5,4,1,2,2,0,4,2,2,5,3,2,1,0,1
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,NCT OF DELHI,15,10,5,10,6,4,3,2,1,1,1,0,0,0,0,0,0,0,1,1,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,JAMMU & KASHMIR,12,7,5,1,1,0,2,2,0,0,0,0,1,1,0,3,2,1,5,1,4
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,KARNATAKA,12,7,5,4,2,2,0,0,0,5,2,3,1,1,0,2,2,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,GUJARAT,10,5,5,4,2,2,3,2,1,0,0,0,2,1,1,1,0,1,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,HARYANA,7,2,5,3,1,2,1,0,1,0,0,0,0,0,0,3,1,2,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,PUDUCHERRY,7,5,2,1,1,0,2,2,0,1,0,1,0,0,0,3,2,1,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ARUNACHAL PRADESH,4,3,1,0,0,0,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,MEGHALAYA,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,GOA,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
