state,district,districtCode,Illiterate_Persons,Illiterate_Males,Illiterate_Females,Literate_Persons,Literate_Males,Literate_Females,BelowMatric_Persons,BelowMatric_Males,BelowMatric_Females,MatricToGrad_Persons,MatricToGrad_Males,MatricToGrad_Females,TechDiploma_Persons,TechDiploma_Males,TechDiploma_Females,Graduate_Persons,Graduate_Males,Graduate_Females,TechDegree_Persons,TechDegree_Males,TechDegree_Females
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,5171,2493,2678,13407,8335,5072,8891,5615,3276,3279,1925,1354,206,110,96,492,327,165,213,141,72
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,16496,6469,10027,46577,23349,23228,32070,15802,16268,9985,5141,4844,760,361,399,2306,1269,1037,658,396,262
ANDAMAN & NICOBAR ISLANDS,South Andaman,640,26949,11353,15596,107741,58255,49486,60521,33623,26898,29845,15731,14114,2226,1289,937,9116,4637,4479,2433,1337,1096
ANDHRA PRADESH,Anantapur,553,752795,167824,584971,869557,385009,484548,444632,182534,262098,244238,108492,135746,9310,6960,2350,70367,42311,28056,24112,14563,9549
ANDHRA PRADESH,Chittoor,554,592413,133435,458978,1034528,418763,615765,501523,178501,323022,298253,124690,173563,15075,10325,4750,97082,53908,43174,37287,21453,15834
ANDHRA PRADESH,East Godavari,545,860817,284622,576195,1640562,689441,951121,960940,353442,607498,409192,182609,226583,28153,23645,4508,128008,75915,52093,40131,25457,14674
ANDHRA PRADESH,Guntur,548,866188,252576,613612,1387321,631621,755700,732236,296649,435587,389139,184796,204343,22604,16785,5819,126790,75151,51639,49026,29242,19784
ANDHRA PRADESH,Krishna,547,742520,248806,493714,1575680,716405,859275,774645,310304,464341,426382,205635,220747,30558,25011,5547,138718,79061,59657,48764,29475,19289
ANDHRA PRADESH,Kurnool,552,798263,179337,618926,794997,370410,424587,405472,168102,237370,223234,109469,113765,10484,8097,2387,68991,42231,26760,27794,16955,10839
ANDHRA PRADESH,Prakasam,549,564578,118034,446544,687068,296780,390288,375583,143630,231953,185447,84809,100638,9352,7060,2292,55439,32535,22904,24655,15025,9630
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,550,486822,139970,346852,823701,372719,450982,444645,177665,266980,236636,113963,122673,11411,9092,2319,62159,36500,25659,28590,18021,10569
ANDHRA PRADESH,Srikakulam,542,396862,65921,330941,454794,177524,277270,251143,86373,164770,126479,51043,75436,5175,4018,1157,36343,21176,15167,11071,6976,4095
ANDHRA PRADESH,Visakhapatnam,544,763818,237311,526507,1270142,637317,632825,565994,250571,315423,379410,193645,185765,33462,29005,4457,158578,90993,67585,50160,32822,17338
ANDHRA PRADESH,Vizianagaram,543,447746,107146,340600,494089,222195,271894,268826,109508,159318,125990,58389,67601,7364,5921,1443,42463,25289,17174,11952,7583,4369
ANDHRA PRADESH,West Godavari,546,617393,201460,415933,1326607,534154,792453,794041,282571,511470,329315,141226,188089,22334,18540,3794,89938,51461,38477,30023,18070,11953
ANDHRA PRADESH,Y.S.R.,551,515416,127496,387920,682734,316263,366471,345790,142636,203154,193506,91929,101577,12070,9508,2562,59313,35521,23792,25583,16143,9440
ARUNACHAL PRADESH,Anjaw,260,4819,1428,3391,4680,2766,1914,3517,2038,1479,666,396,270,50,43,7,283,181,102,72,65,7
ARUNACHAL PRADESH,Changlang,253,27978,11316,16662,30534,17660,12874,20741,11850,8891,6440,3642,2798,184,158,26,1859,1207,652,346,255,91
ARUNACHAL PRADESH,Dibang Valley,257,2223,1080,1143,2759,1505,1254,1708,903,805,635,353,282,15,11,4,203,139,64,29,23,6
ARUNACHAL PRADESH,East Kameng,247,18590,4572,14018,17537,9107,8430,11732,5573,6159,4097,2359,1738,106,83,23,1040,754,286,203,169,34
ARUNACHAL PRADESH,East Siang,251,14709,6078,8631,25306,13806,11500,14370,7651,6719,7045,3669,3376,141,113,28,2569,1643,926,515,389,126
