state,district,districtCode,origin,count,male,female,rural,urban
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,JHARKHAND,1390,1006,384,1390,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,TAMIL NADU,1040,666,374,1040,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,WEST BENGAL,905,789,116,905,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ANDHRA PRADESH,590,329,261,590,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,CHHATTISGARH,573,365,208,573,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,KERALA,228,142,86,228,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,PUNJAB,153,85,68,153,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ODISHA,137,109,28,137,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,UTTAR PRADESH,135,71,64,135,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,MAHARASHTRA,108,51,57,108,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,BIHAR,93,63,30,93,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,MADHYA PRADESH,63,51,12,63,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ASSAM,57,52,5,57,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,TRIPURA,48,48,0,48,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,HARYANA,28,11,17,28,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,KARNATAKA,17,6,11,17,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,UTTARAKHAND,16,7,9,16,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,GUJARAT,12,9,3,12,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,JAMMU & KASHMIR,7,4,3,7,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,NCT OF DELHI,7,5,2,7,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,RAJASTHAN,7,2,5,7,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,PUDUCHERRY,7,5,2,7,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,HIMACHAL PRADESH,5,0,5,5,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,CHANDIGARH,2,2,0,2,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ARUNACHAL PRADESH,1,1,0,1,0
