state,district,districtCode,origin,Persons_Total,Males_Total,Females_Total,Persons_Work,Males_Work,Females_Work,Persons_Business,Males_Business,Females_Business,Persons_Education,Males_Education,Females_Education,Persons_Marriage,Males_Marriage,Females_Marriage,Persons_MoveAfterBirth,Males_MoveAfterBirth,Females_MoveAfterBirth,Persons_MoveWithHH,Males_MoveWithHH,Females_MoveWithHH,Persons_Other,Males_Other,Females_Other
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,JHARKHAND,952,687,265,565,552,13,0,0,0,5,3,2,117,0,117,5,4,1,140,37,103,120,91,29
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,TAMIL NADU,673,405,268,227,219,8,30,29,1,4,4,0,119,3,116,53,22,31,118,36,82,122,92,30
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,WEST BENGAL,529,448,81,353,338,15,2,1,1,0,0,0,14,2,12,10,6,4,50,9,41,100,92,8
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ANDHRA PRADESH,405,199,206,101,98,3,1,1,0,0,0,0,74,0,74,28,16,12,149,51,98,52,33,19
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,CHHATTISGARH,275,158,117,98,94,4,0,0,0,2,0,2,52,1,51,6,3,3,79,31,48,38,29,9
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,KERALA,86,52,34,28,26,2,1,1,0,0,0,0,11,0,11,6,5,1,28,10,18,12,10,2
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ODISHA,80,59,21,48,46,2,2,2,0,3,3,0,8,0,8,2,2,0,9,1,8,8,5,3
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,PUNJAB,55,30,25,3,3,0,0,0,0,0,0,0,3,0,3,6,3,3,24,12,12,19,12,7
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ASSAM,52,51,1,29,29,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,22,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,UTTAR PRADESH,49,22,27,14,13,1,2,2,0,0,0,0,5,0,5,1,1,0,20,2,18,7,4,3
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,TRIPURA,49,49,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,MAHARASHTRA,36,14,22,5,4,1,0,0,0,0,0,0,7,0,7,3,3,0,16,6,10,5,1,4
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,MADHYA PRADESH,35,24,11,11,10,1,0,0,0,1,0,1,1,0,1,1,1,0,16,8,8,5,5,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,BIHAR,25,17,8,9,9,0,0,0,0,0,0,0,2,0,2,0,0,0,8,3,5,6,5,1
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,NCT OF DELHI,15,10,5,6,5,1,0,0,0,0,0,0,2,1,1,0,0,0,3,2,1,4,2,2
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,JAMMU & KASHMIR,12,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,2,4
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,KARNATAKA,12,7,5,4,3,1,0,0,0,3,1,2,2,0,2,0,0,0,0,0,0,3,3,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,GUJARAT,10,5,5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,3,3,2,1
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,HARYANA,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,4,1,1,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,PUDUCHERRY,7,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,2,2,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,ARUNACHAL PRADESH,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,MEGHALAYA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,GOA,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,HIMACHAL PRADESH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,CHANDIGARH,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,RAJASTHAN,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,SIKKIM,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,Nicobars,638,DADRA & NAGAR HAVELI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,WEST BENGAL,5296,3046,2250,1270,1221,49,145,142,3,18,14,4,650,13,637,88,56,32,2404,1062,1342,721,538,183
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,JHARKHAND,2530,1277,1253,807,773,34,1,0,1,17,12,5,670,7,663,26,20,6,657,233,424,352,232,120
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,ANDHRA PRADESH,1571,703,868,400,384,16,9,8,1,4,3,1,470,7,463,84,44,40,453,160,293,151,97,54
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,TAMIL NADU,1505,693,812,377,351,26,80,77,3,11,7,4,478,11,467,91,38,53,294,98,196,174,111,63
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,KERALA,587,262,325,135,125,10,17,17,0,0,0,0,145,3,142,35,14,21,181,56,125,74,47,27
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,CHHATTISGARH,416,202,214,151,146,5,1,1,0,1,1,0,111,1,110,8,7,1,103,22,81,41,24,17
ANDAMAN & NICOBAR ISLANDS,North  & Middle Andaman,639,ODISHA,371,193,178,99,98,1,2,2,0,0,0,0,61,2,59,8,3,5,149,53,96,52,35,17
